"Class name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subclass of (rdfs:subClassOf)","Disjoint with (owl:disjointWith)","equivalent class (owl:equivalentClass)","Close to (rico:closeTo)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:RecordResource","Record Resource","Ressource archivistique","Recurso documental","Information produced or acquired and retained by an Agent in the course of life or work activity.","Record resource is a kind of Thing. Producing a record resource may imply either its initial creation or a reuse of previous existing information by combination, rearrangement, selecting, reformatting, etc. Record set, record, and record part are kinds of record resource. A record resource is evidence of the activity of an agent. More than one agent may be involved in the creation of a record resource. The role of the agent in creating the record resource may take different forms, for example, authoring of an individual record, accumulating a record set, or arranging a record set. Though a record, record set, and record part, under most circumstances, may be easily distinguished from one another, identifying the boundary of each may frequently present particular challenges. Documentary forms provide the rules governing the structure of many types of records, providing criteria for identifying a record's boundary, and identifying its essential parts. Many records, though, do not have well-established documentary forms, particularly in the case of digital records, where it may be difficult to determine whether individual elements represented in separate bitstreams are record parts, records, or record sets. For example, is photographic information represented independently in a bitstream embedded in a text document a record or a record part? Or is the same photographic information attached to an email that maintains its independent representation, a record or a record part? Information grouped for some purpose, for example, ZIP or TAR ""file compression"" for saving storage space, presents a further challenge. One file comprises multiple bitstreams subjected to techniques that remove bits that can be losslessly recovered when decompressed. Under what circumstances is such a compressed bitstream a record or a record set? Determining when an information object is a record, record set, or record part is based on perspective and judgement exercised in a particular context. In one context, the agent describing an information object may designate it a record, while another agent in a different context may designate it a record part. Both designations are supported by RiC-CM, and the significance of the difference for users of the records is ameliorated by the fact that all of the attributes and relations employed in describing record and record part are shared, as are many of the attributes and relations employed in describing a record set.","Corresponds to RiC-E02 (Record Resource entity)","Thing",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:RecordResourceExtent","Record Resource Extent","Mesure d’une ressource archivistique","Extensión de recurso documental","The quantity of information content, as human experienced, contained in a Record Resource.","The method and precision of expressing the quantity of information represented in a Record Resource will vary according to the kind of record resource being described, processing economy constraints, etc. For Record Sets, quantity may be expressed as number of records, or, for analogue records in particular, by the physical storage dimensions of the members of the Record Set. For individual Records or Record Parts, quantity may be expressed in more precise terms.","Class implementation of RiC-A35 (Record Resource extent attribute)","Extent",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:RecordResourceGeneticRelation","Record Resource Genetic Relation","Relation génétique entre des ressources archivistiques","Relación genética entre recursos documentales","Connects two or more record resources when there is a genetic link between them. Genetic in this sense is as defined by diplomatics, i.e., the process by which a record resource is developed. This Relation is a generic, not oriented one.",,"Class implementation of RiC-R023 and RiC-023i relations","RecordResourceToRecordResourceRelation | relationConnects  min 2 RecordResource",,"recordResourceGeneticRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:RecordResourceHoldingRelation","Record Resource Holding Relation","Relation entre agents et ressources archivistiques ou instanciations conservées","Relación entre agentes y recursos documentales que conservan","Connects at least one Agent and one or more Record Resource or Instantiation that the Agent(s) hold(s) or held. The Agent(s) is the source of the Relation and the Record Resource(s) or Instantiation is the target.",,"Class implementation of RiC-R039 and RiC-039i relations","ManagementRelation | relationHasSource  min 1 Agent | relationHasTarget  min 1 (Instantiation or RecordResource)",,"recordResourceHoldingRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed. | 2023-12-30 : Fixed a typo in the French label."
"rico:RecordResourceToInstantiationRelation","Record Resource to Instantiation Relation","Relation d’instanciation","Relación de recurso documental a instanciación","Connects a Record Resource to one or more Instantiations that instantiate it, and which either may exist or may have been lost or destroyed. The Record Resource is the source of the Relation and the Instantiation(s) is the target.","In some situations, it may be useful or necessary to connect a record resource to an instantiation that no longer exists or has been lost, when some of its characteristics are known from a source, such as an old finding aid.","Class implementation of RiC-R025 and RiC-R025i relations","Relation | relationHasSource  1 RecordResource | relationHasTarget  min 1 Instantiation",,"recordResourceToInstantiationRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:RecordResourceToRecordResourceRelation","Record Resource to Record Resource Relation","Relation entre ressources archivistiques","Relación entre recursos documentales","Connects at least two Record Resources. This Relation is a generic, not oriented one.","Use to connect two record resources only if it is not possible to use a narrower, more specific relation, for example RecordResourceGeneticRelation.","Class implementation of RiC-R022 and RiC-022i relations","Relation | relationConnects  min 2 RecordResource",,"recordResourceToRecordResourceRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:RecordSet","Record Set","Ensemble d’objets informationnels","Agrupación documental","One or more records that are grouped together by an Agent based on the records sharing one or more attributes or relations.","Record set is a kind of Record Resource. The member records in a Record Set may physically reside together, though physical proximity is not essential. In a particular context, an Agent (for example, administrator, records manager, archivist, end-user, etc.) may select the member records of a Record Set based on any shared attribute or attributes, or any shared relation or relations. The grouping of the records serves a purpose or purposes specific to the context of the Agent. For example, all member records of a Record Set have been accumulated by the same Agent; have the same Documentary Form Type; or are related to and document the same Activity. A Record Set may represent the act of classifying the records in accordance with a formal classification scheme that may be based on activity, subject, organizational structure, or other criteria; an act of archival arrangement (for example, based on common provenance); or some other selection and grouping that fulfils a particular purpose or purposes (for example, a classification that reflects or supports the purposes of a researcher). By exception, some records are brought together based on their not belonging in the context of selection to other designated groups: a 'Miscellaneous' series, for example. A Record Sset accumulated by an Agent in the course of life or work activity should be described in a manner that preserves context and evidential value. Record Sets may also contain other Record Sets. A Record Set or Record may simultaneously be a member of more than one Record Set, and over the course of its existence, a Record Set or Record may be a member of an indeterminate number of Record Sets in an indeterminate number of contexts. Record Sets and Records contained within a Record Set may be ordered into a sequence based on a common property or relation, or common properties or relations (for example, alphabetical by agent or related place); chronological order by creation date; or some other criterion (for example, an imposed order by relevance).","Corresponds to RiC-E03 (Record Set entity)","RecordResource",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:RecordSetType","Record Set Type","Type d’ensemble d’objets informationnels","Tipo de agrupación documental","A broad categorization of the type of Record Set.","Four instances of Record Set Type are included for now in RiC-O; they also are instances of skos:Concept and, as such, part of a SKOS vocabulary. Record Set Type may also be used (or extended) to categorize types of Record Set that have not traditionally been considered archival, e.g. search result list.","Corresponds to RiC-A36 (Record Set Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:RecordState","Record State","État d’un objet informationnel","Estado de documento","Description of the production or reproduction status of a Record or Record Part.","Can refer both to a record's stage of creation (for example ""draft"") and its form of transmission when the record was received (for example ""copy"").","Corresponds to RiC-A39 (State attribute)","Type",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:Relation","Relation","Relation","Relación","The top level relation class. It connects at least two Things. An instance of a Relation may have some datatype and object properties: a general description (datatype property) like any Thing; a certainty (for 'certain', 'quite probable', 'uncertain','unknown'); a date (use either the date datatype property or the Date class and isAssociatedWithDate object property); a state (relationState); a location (use the Place class and isAssociatedWithPlace object property); a source of information that can be used as an evidence for it (use either source datatype property or hasSource object property). This Relation is the most generic one; it is not oriented.","Use when direct, binary object properties are not enough, e.g. when you need to record a date, a location or any other descriptive element for a relation (till RDF-Star becomes a W3C recommendation and provides a lighter method for doing so); or when the relation invloves more than two entities (n-ary relation). It is recommended to use the subclasses of the Relation class.",,"Thing",,"relation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : added the equivalence to relation_role. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:RepresentationType","Representation Type","Type de représentation","Tipo de grabación","Method of recording the content type of an Instantiation","Can be unmediated (which allows humans to receive the message communicated without an intermediation of a device) and mediated (which needs a device to decode the message). A lot of contemporary mediated types are digital. Each representation type may present specific features: bit rate for audio, resolution for digital images, encoding format for video etc. Depending on the type, specific attributes may be added to describe their characteristics.","Corresponds to RiC-A37 (Representation Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:RoleType","Role Type","Type de rôle","Tipo de rol","The role an Agent plays in some context (usually in some creation relation). Not to be confused with a Position (position of an agent in some group). For example, a Person who is the head of some Corporate Body may play the role of annotator (of a record) in a creation relation.",,,"Type",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:Rule","Rule","Règle","Regla","Conditions that govern the existence, responsibility, or authority of an Agent; or the performance of an Activity by an Agent; or that contribute to the distinct characteristics of things created or managed by an Agent.","Rule is a kind of Thing. Rule can be related directly to agent, activity, or anything created or managed by agents, such as a record resource or instantiation. A rule may be unwritten or written or otherwise documented. Unwritten rules may include though are not limited to the following: social mores, customs, or community expectations. Written rules may include though are not limited to the following: constitutions, legislation, acts (legal), statutes, legal codes, ordinances, charters, mission statements, regulations, policies, procedures, instructions, codes of conduct or ethics, professional standards, work assignments, or work plans. The source or sources of some rules governing the existence or activity of an agent may be external (for example, expressed in elections, social mores, customs, community expectations, laws, regulations, standards, and best practice codes), while others may be expressed within the immediate context of an agent (for example, policies, or written or verbal instructions). The evidence for identifying rules may be found in their entirety in one documentary source (for example, a law or regulation) or may be found in two or more sources. Rule should not be confused with the one or more documentary sources that serve as evidence of its identity. A documentary source is a record.","Corresponds to RiC-E16 (Rule entity)","Thing",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:RuleRelation","Rule Relation","Relation impliquant une règle","Relación con regla","Connects at least one Rule to at least one Thing when it is associated with existence and lifecycle of the Thing. The Rule(s) is the source of the Relation, and the Thing(s) is the target.",,"Class implementation of RiC-R062 and RiC-R062i relations","Relation | relationHasSource  min 1 Rule | relationHasTarget  min 1 Thing",,"ruleRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:RuleType","Rule Type","Type de règle","Tipo de regla","Categorization of a Rule.","For example, for rules that can be applied to record resources : access rule, use rule, etc.","Corresponds to RiC-A45 (Rule Type attribute).","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: added a rico:RiCCMCorrespondingComponent."
"rico:SequentialRelation","Sequential Relation","Relation séquentielle","Relación secuencial","Connects at least one Thing to at least one other Thing that follows or followed it in some sequence. The Relation is oriented from the first Thing(s) in the sequence to the following one(s): the first Thing(s) is the source, and the following Thing(s) is the target.","The relation does not specify the criteria used for ordering the sequence. There may be zero to many intermediate entities, ignored or unknown, in the sequence between the two connected things. Can be used, for example, for specifying that a record ""has next"" another record within a record set.","Class implementation of RiC-R008 and RiC-R008i relations","Relation | relationHasSource  min 1 Thing | relationHasTarget  min 1 Thing",,"sequentialRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:SiblingRelation","Sibling Relation","Relation de fratrie","Relación familiar entre hermanos","Connects at least two Persons, when they are siblings. This Relation is not oriented.",,"Class implementation of RiC-R048 and RiC-R048i relations","FamilyRelation | relationConnects  min 2 Person",,"siblingRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:SpouseRelation","Spouse Relation","Relation matrimoniale","Relación matrimonial entre personas","Connects at least two Persons, when they are spouses. This Relation is not oriented.",,"Class implementation of RiC-R049 and RiC-R049i relations","FamilyRelation | relationConnects  min 2 Person",,"spouseRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:TeachingRelation","Teaching Relation","Relation entre enseignants et étudiants","Relación académica entre profesor y alumno","Connects at least one Person to at least another Person who is or was their student. The Relation is oriented from the teacher(s) to the student(s): the teacher Person(s) is the source of the Relation, and the student Person(s) is the target.",,"Class implementation of RiC-R053 and RiC-R053i relations","KnowingRelation | relationHasSource  min 1 Person | relationHasTarget  min 1 Person",,"teachingRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:TemporalRelation","Temporal Relation","Relation temporelle","Relación temporal","Connects at least one Thing to at least one other Thing that follows it in chronological order. The Relation is oriented chronologically: the preceding Thing(s) is the source of the Relation, the following Thing(s) is the target.","There may be zero to many intermediate entities, ignored or unknown, in the chronological sequence between the connected entities.","Class implementation of RiC-R009 and RiC-R009i relations","SequentialRelation | relationHasSource  min 1 Thing | relationHasTarget  min 1 Thing",,"temporalRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Thing","Thing","Chose","Cosa","Any idea, material thing, or event within the realm of human experience.","Includes all RiC entities as well as any concept, material thing, or event that may be the subject of a Record Resource or associated with an Activity. Examples of entities not explicitly addressed in RiC includes but is not limited to the following: abstract concepts; cultural movements, named periods and events; named things, objects and works; legendary, mythical or fictitious figures, characters or beings.","Corresponds to RiC-E01 (Thing entity)",,,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:Title","Title","Intitulé","Título","A name that is used for a Record Resource or a Rule",,"Class implementation of a specialization of RiC-A28 (Name attribute)","Name",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:Type","Type","Type","Tipo","A superclass for any category of some thing. A type characterizes an entity.",,,"Concept",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:TypeRelation","Type Relation","Relation de catégorisation","Tipo de relación","Connects a category (a Type) and at least one Thing that belongs to this category. The Type(s) is the source of the Relation, and the Thing(s) is the target.","may be useful at least for some types (e.g. demographic group)",,"Relation | relationHasSource  1 Type | relationHasTarget  min 1 Thing",,"typeRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:UnitOfMeasurement","Unit Of Measurement","Unité de mesure","Unidad de medida","A definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity. Can be spacial units (cm, m), weight (g, kg), time (s, h), storage (MB, TB) or more informal units used in the archival context like number of boxes, pages or words.",,,"Concept",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-08-28 : Added an xml:lang attribute to the rdfs:comment. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:WholePartRelation","Whole Part Relation","Relation partitive","Relación entre todo y parte","Connects a Thing to at least one other Thing that is or was a portion or division of the whole Thing. The Relation is oriented from the Thing to its part(s): the Thing is the source of the Relation, and the part Thing(s) is the target.",,"Class implementation of RiC-R002 and RiC-R002i relations","Relation | relationHasSource  1 Thing | relationHasTarget  min 1 Thing",,"wholePartRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:WorkRelation","Work Relation","Relation de travail","Relación profesional","Connects at least two Agents that have or had some type of work relation in the course of their activities. This Relation is not oriented.",,"Class implementation of RiC-R046 and RiR046i relations-","AgentToAgentRelation | relationConnects  min 2 Agent",,"workRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
