"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:isCollectorOf","is collector of","collecte","es coleccionista de","Inverse of 'has collector' object property.",,"RiC-R030i ('is collector of' relation)","isAccumulatorOf","Agent","Instantiation ; RecordResource","hasCollector",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isComponentOfTransitive","is component of transitive","est un composant de transitif","es componente de transitivo","Connects an Instantiation to another Instantiation of which it is, directly or indirectly, a component. This is a transitive relation.",,,"isOrWasComponentOf; isPartOfTransitive","Instantiation","Instantiation","hasComponentTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between instantiations (the past partitive relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isConstituentOfTransitive","is constituent of transitive","est le constituant de transitif","es elemento constitutivo de transitivo","Connects a Record or Record Part to another Record or Record Part of which it is a constituent, directly or indirectly. This is a transitive relation.",,,"isOrWasConstituentOf; isPartOfTransitive","Record ; RecordPart","Record ; RecordPart","hasConstituentTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between records and other records or record parts (the past partitive relation also being added). | 2023-10-26 : Added RecordPart to the range. | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isContainedByTransitive","is contained by transitive","est contenu par transitif","está contenido en transitivo","Connects a Place to a Place that is, directly or indirectly, contained by it. This is a transitive relation.",,,"isOrWasContainedBy; isPartOfTransitive","Place","Place","containsTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between places (the past partitive relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isContentTypeOf","is content type of","est le type de contenu de","es tipo de contenido de","Connects a Content Type to a Record or Record Part whose content it categorizes.",,,"isOrWasCategoryOf","ContentType","Record ; RecordPart","hasContentOfType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isCopyOf","is copy of","est la copie de","es copia de","Inverse of 'has copy' object property.",,"RiC-R012i ('is copy of' relation)","followsInTime; hasGeneticLinkToRecordResource","RecordResource","RecordResource","hasCopy",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isCreationDateOf","is creation date of","est la date de création de","es fecha de creación de","Connects a Date to a Record Resource or Instantiation that was created at this Date.","When used for a Record Set (e.g. a file), it is the creation date of the Record Set itself rather than the creation date of the members of the Record Set. To record the creation date of members of the Record Set, use 'is or was creation date of all members of', 'is or was creation date of most members of’ or 'is or was creation date of some members of’.","RiC-R080 ('is creation date of' relation)","isBeginningDateOf","Date","Instantiation ; RecordResource","hasCreationDate",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Added the French label | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isCreatorOf","is creator of","est le créateur de","es creador(a) de","Inverse of 'has creator' object property.",,"RiC-R027i ('is creator of 'relation')","isOrganicProvenanceOf","Agent","Instantiation ; RecordResource","hasCreator",,"thingIsTargetOfRelation/creationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new creationRelation_role object property."
"rico:isDateAssociatedWith","is date associated with","est une date associée a","es fecha asociada con","Connects a Date to a Thing with whose existence and lifecycle the Date is associated.","Use to connect a date and an entity only if it is not possible to specify a narrower date relation, for example, is beginning date of.","RiC-R068 ('is date associated with' relation)","isRelatedTo","Date","Thing","isAssociatedWithDate",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:isDateOfOccurrenceOf","is date of occurrence of","est la date d'occurrence de","es fecha de ocurrencia de","Connects a Date to an Event that occurred at this Date. An event or activity can be recurrent, which implies that one single event can be related to several dates.",,"RiC-R084 ('is date of occurrence of' relation)","isAssociatedWithEvent; isDateAssociatedWith","Date","Event","occurredAtDate",,,"2023-10-12 : Added the property | 2023-10-13 : Renamed the property to correct a spelling mistake. Also corrected the annotations when necessary. | 2023-10-17 : Made this property a subproperty of isAssociatedWithEvent | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDateTypeOf","is date type of","est le type de date de","es tipo de fecha de","Connects a Date Type to a Date that it categorizes.",,,"isOrWasCategoryOf","DateType","Date","hasDateType",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-10 : Added a rdfs:comment and a French rdfs:label. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDeathDateOf","is death date of","est la date de décès de","es fecha de muerte de","Connects a Date to a Person who died on that Date.",,"RiC-R072 ('is death date of' relation)","isEndDateOf","Date","Person","hasDeathDate",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isDeathPlaceOf","is death place of","est le lieu de décès de","es lugar de muerte de","Connects a Place to a Person who died in that Place.",,,"isPlaceAssociatedWithAgent","Place","Person","hasDeathPlace",,,"2023-10-19 : Property added to RiC-0 1.0 | 2023-10-26 : Fixed the range and the French label of the property. | 2023-11-12 : Updated the description (rdfs:comment). | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDestructionDateOf","is destruction date of","est la date de destruction de","es fecha de destrucción de","Connects a Date to a Thing that was destructed at that Date.",,,"isEndDateOf","Date","Thing","hasDestructionDate",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Renamed deletion into destruction. | 2023-10-14 : Added a rdfs:comment; same to the inverse property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDirectComponentOf","is direct component of","est le composant direct de","es componente directo de","Connects an Instantiation to another Instantiation of which it is a direct component.",,,"isComponentOfTransitive; isDirectPartOf","Instantiation","Instantiation","hasDirectComponent",,,"2023-09-08 :  | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDirectConstituentOf","is direct constituent of","est un constituant direct de","es elemento constitutivo directo de","Connects a Record or Record Part to another Record or Record Part of which it is a direct constituent.",,,"isConstituentOfTransitive; isDirectPartOf","Record ; RecordPart","Record ; RecordPart","hasDirectConstituent",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between records and other records or record parts (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-10-26 : Added RecordPart to the range. | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDirectPartOf","is direct part of","fait directement partie de","es parte directa de","Connects a Thing to a Thing of which it is direct constitutive or component part.","To be used only when the current partitive relation is direct, without any intermediate node between the related things.",,"isPartOfTransitive","Thing","Thing","hasDirectPart",,,"2023-07-12 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between things (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDirectSubdivisionOf","is direct subdivision of","est la subdivision directe de","es subdivisión directa de","Connects a Group to the Group it is a direct subdivision of.",,,"isDirectPartOf; isDirectSubordinateTo; isSubdivisionOfTransitive","Group","Group","hasDirectSubdivision",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between groups (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDirectSubeventOf","is direct subevent of","est un événement constituant directement l’événement","es parte directa de evento de","Connects an ongoing Event to the Event it is a direct part of.",,,"isDirectPartOf; isSubeventOfTransitive","Event","Event","hasDirectSubevent",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between ongoing events (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDirectSubordinateTo","is direct subordinate to","est directement subalterne de","está directamente subordinado(a) a","Connects an Agent to an Agent that is directly hierarchically superior.",,,"isSubordinateToTransitive","Agent","Agent","hasDirectSubordinate",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, subordination relations between agents (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDirectlyContainedBy","is directly contained by","est directement contenu par","está directamente contenido en","Connects a Place to a Place that directly contains it.",,,"isContainedByTransitive; isDirectPartOf","Place","Place","directlyContains",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between places (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDirectlyIncludedIn","is directly included in","est directement inclus dans","está directamente incluido en","Connects a Record to a Record or Record Set in which it is directly included.",,,"isDirectPartOf; isIncludedInTransitive","Record ; RecordSet","RecordSet","directlyIncludes",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct, partitive relations between Record Sets and their members (the possibly indirect, transitive relation, superproperty of this one, being also added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isDocumentaryFormTypeOf","is documentary form type of","est le type de document de","es tipo documental de","Connects a Documentary Form Type to a Record or Record Part that it categorizes.",,,"isOrWasCategoryOf","DocumentaryFormType","Record ; RecordPart","hasDocumentaryFormType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isDraftOf","is draft of","est l’ébauche de","es borrador de","Connects a draft to the final version of a Record.","There may be zero to many intermediate records, ignored or unknown, between the two connected Records.","RiC-R011 (is draft of relation)","hasGeneticLinkToRecordResource; precedesInTime","Record ; RecordPart","Record ; RecordPart","hasDraft",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:isEndDateOf","is end date of","est la date de fin de","es fecha final de","Connects a Date to a Thing whose existence ended on that Date.",,"RiC-R071 ('is end date of' relation)","isDateAssociatedWith","Date","Thing","hasEndDate",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isEquivalentTo","is equivalent to","est l’équivalent de","equivale a","Connects two Things that are considered equivalent.",,,"isRelatedTo","Thing","Thing",,"SymmetricProperty",,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isEventAssociatedWith","is event associated with","est un événement associé a","es evento asociado con","Connects an Event to a Thing that is associated with the existence and lifecycle of the Event.","Use to connect an Event and an entity only if it is not possible to specify a narrower Event relation, for example has or had participant.","RiC-R057 ('is event associated with' relation)","isRelatedTo","Event","Thing","isAssociatedWithEvent",,"thingIsSourceOfRelation/eventRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new eventRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:isEventTypeOf","is event type of","est le type d’événement de","es tipo de evento de","Connects an Event Type to an Event that is categorizes.",,,"isOrWasCategoryOf","EventType","Event","hasEventType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isEvidencedBy","is evidenced by","est attestée par","se evidencia en","Connects a Relation to a Record Resource that is used for proving is existence or describing it.",,"Object property implementation of RiC-RA05 (Source of Relation attribute).","relationConnects","Relation","RecordResource","evidences",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-12-27 : Renamed the object property (was 'has source') and reduced its domain to Relation (the domain was the union of Record Resource and Relation) and its range to Record Resource (the range was the union of Agent and Record Resource). Consequently updated the superproperty, the labels, and added a rico:RiCCMCorrespondingComponent. Same for the inverse object property."
"rico:isExtentOf","is extent of","est la mesure de","es extensión de","Connects an Extent to a Thing",,,"isRelatedTo","Extent","Thing","hasExtent",,,"2023-08-28 : Added a new rdfs:label in French; added an xml:lang attribute to the rdfs:comment. | 2023-08-28 : Changed the range (was Instantiation or RecordResource) to Thing ; changed the definition accordingly | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : Fixed the range."
"rico:isExtentTypeOf","is extent type of","est le type de mesure de","es tipo de extensión de","Connects an Extent Type to an Extent that it categorizes.",,,"isOrWasCategoryOf","ExtentType","Extent","hasExtentType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isFamilyTypeOf","is family type of","est le type de famille de","es tipo de familia de","Connects a Family Type to a Family that is categorizes.",,,"isOrWasCategoryOf","FamilyType","Family","hasFamilyType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isFromUseDateOf","is from use date of","est la date à partir de laquelle est utilisé","es fecha desde la que se usa de","Connects a Date to an Appellation, when it is the date at which the Appellation was first used.",,,"isBeginningDateOf","Date","Appellation","wasUsedFromDate",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-10-19 : Made this property subPropertyOf isBeginningDateOf. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isFunctionallyEquivalentTo","is functionally equivalent to","est fonctionnellement équivalente à","equivale funcionalmente a","Connects two Instantiations which may be considered as equivalent. This relation is symmetric.","Two Instantiations, from some point of view, may be considered as equivalent. This equivalence is usually based upon the fact that the Instantiations have at least the same intellectual content (they instantiate the same Record Resource).","RiC-R035 ('is functionally equivalent to' relation)","isEquivalentTo; isInstantiationAssociatedWithInstantiation","Instantiation","Instantiation",,"SymmetricProperty","thingIsConnectedToRelation/functionalEquivalenceRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new functionalEquivalenceRelation_role object property."
"rico:isIdentifierTypeOf","is identifier type of","est le type d’identifiant de","es tipo de identificador de","Connects an Identifier Type and an Identifier that it categorizes.",,,"isOrWasCategoryOf","IdentifierType","Identifier","hasIdentifierType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isIncludedInTransitive","is included in transitive","est inclus dans transitif","está incluido en transitivo","Connects a Record to a Record or Record Set in which it is directly or indirectly included. This is a transitive relation.",,,"isOrWasIncludedIn; isPartOfTransitive","Record ; RecordSet","RecordSet","includesTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between Record Sets and their members (the past partitive relation also being added). | 2023-11-13 : Added a French label. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isInstantiationAssociatedWithInstantiation","is instantiation associated with instantiation","est associée à l’instanciation","se asocia con la instanciación","Connects two Instantiations. This relation is symmetric.","Use only if it is not possible to specify a narrower Instantiation to Instantiation relation, for example is functionally equivalent to.","RiC-R034 ('is instantiation associated with instantiation' relation)","isRelatedTo","Instantiation","Instantiation",,"SymmetricProperty","thingIsConnectedToRelation/instantiationToInstantiationRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new instantiationToInstantiationRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:isLastUpdateDateOf","is last update date of","est la date de dernière mise à jour de","es fecha de última actualización de","Connects a Date and a Thing that was last modified at this Date.",,,"isModificationDateOf","Date","Thing","wasLastUpdatedAtDate",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isModificationDateOf","is modification date of","est une date de modification de","es fecha de modificación de","Connects a Date to a Thing that was modified on that Date.",,"RiC-R073 ('is modification date of' relation)","isDateAssociatedWith","Date","Thing","hasModificationDate",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasAdjacentTo","is or was adjacent to","est ou a été adjacent à","es o era un lugar contiguo a","Connects two Places that are or were geographically adjacent. This relation is symmetric.","Use for connecting two adjacent geographical or administrative regions.","RiC-R077 ('is or was adjacent to' relation)","isAssociatedWithPlace; isPlaceAssociatedWith","Place","Place",,"SymmetricProperty",,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:isOrWasAffectedBy","is or was affected by","est ou a été affecté par","es o era afectado por","Inverse of 'affects or affected' object property.",,"RiC-R059i ('is or was affected by' relation)","isOrWasParticipantIn","Thing","Event","affectsOrAffected",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasAgentNameOf","is or was agent name of","est ou a été le nom de","es o era el nombre de agente de","Connects an Agent Name to an Agent it designates or designated.",,,"isOrWasNameOf","AgentName","Agent","hasOrHadAgentName",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasAnalogueInstantiationOf","is or was analogue instantiation of","est ou a été une instanciation analogique de","es or era instanciación analogica de","Inverse of 'has or had analogue instantiation' object property.",,,"isOrWasInstantiationOf","Instantiation","RecordResource","hasOrHadAnalogueInstantiation",,,"2023-08-29 : Added the property. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2023-12-30 : Fixed a typo in the French label."
"rico:isOrWasAppellationOf","is or was appellation of","est ou a été l’appellation de","es o era la denominación de","Connects an Appellation to a Thing that it designates or designated.",,,"isRelatedTo","Appellation","Thing","hasOrHadAppellation",,"thingIsSourceOfRelation/appellationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Added the property chain axiom so that this property is formally defined as a shortcut (the inverse property already was). | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new appellationRelation_role object property."
"rico:isOrWasCategoryOf","is or was category of","est ou a été la catégorie de","es o era la categoría de","Connects a Type (a category) to a Thing that it categorizes or categorized.",,,"isRelatedTo","Type","Thing","hasOrHadCategory",,"thingIsSourceOfRelation/typeRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new typeRelation_role object property."
"rico:isOrWasCategoryOfAllMembersOf","is or was category of all members of","est ou a été la catégorie de tous les membres de","es o era la categoría de todos los miembros de","Connects a Category (Type) and a Record Set whose all present or past Record or Record Part members belong to that Category.",,,"isRelatedTo","Type","RecordSet","hasOrHadAllMembersWithCategory",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasCategoryOfSomeMembersOf","is or was category of some members of","est ou a été la catégorie de certains membres de","es o era la categoría de algunos miembros de","Connects a Category (Type) and a Record Set whose some present or past Record or Record Part members belong to that Category.",,,"isRelatedTo","Type","RecordSet","hasOrHadSomeMembersWithCategory",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasComponentOf","is or was component of","est ou a été un composant de","es o era componente de","Inverse of 'has or had component' object property.",,"RiC-R004i ('is or was component of' relation)","isInstantiationAssociatedWithInstantiation; isOrWasPartOf","Instantiation","Instantiation","hasOrHadComponent",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasConstituentOf","is or was constituent of","est ou a été un constituant de","es o era elemento constitutivo de","Inverse of 'has or had constituent' object property.",,"RiC-R003i ('is or was constituent of' relation)","isOrWasPartOf; isRecordResourceAssociatedWithRecordResource","Record ; RecordPart","Record ; RecordPart","hasOrHadConstituent",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-10-26 : Added RecordPart to the range. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasContainedBy","is or was contained by","est ou a été contenu par","está o estaba contenido en","Inverse of 'contains or contained' object property.",,"RiC-R007i ('is or was contained by' relation)","isAssociatedWithPlace; isOrWasPartOf; isPlaceAssociatedWith","Place","Place","containsOrContained",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasContentTypeOfAllMembersOf","is or was content type of all members of","est ou a été le type de contenu de tous les membres de","es o era tipo de contenido de todos los miembros de","Connects a Content Type and a Record Set whose all past or present Record or Record Part members have that Content Type.",,,"isOrWasCategoryOfAllMembersOf","ContentType","RecordSet","hasOrHadAllMembersWithContentType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasContentTypeOfSomeMembersOf","is or was content type of some members of","est ou a été le type de contenu de certains membres de","es o era tipo de contenido de algunos miembros de","Connects a Content Type and a Record Set whose some past or present Record or Record Part members have that Content Type.",,,"isOrWasCategoryOfSomeMembersOf","ContentType","RecordSet","hasOrHadSomeMembersWithContentType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasControllerOf","is or was controller of","a contrôlé ou contrôle","es o era controlador de","Connects an Agent to another Agent it controls or controlled.",,"RiC-R041 ('is or was controller of' relation)","hasOrHadAuthorityOver; hasOrHadSubordinate","Agent","Agent","hasOrHadController",,"thingIsSourceOfRelation/agentControlRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new agentControlRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:isOrWasCoordinatesOf","is or was coordinates of","ont ou ont été les coordonnées de","son o eran coordenadas de lugar de","Connects an instance of Coordinates to a Physical Location it locates or located on earth, according to some reference system.",,,"isRelatedTo","Coordinates","PhysicalLocation","hasOrHadCoordinates",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasCorporateBodyTypeOf","is or was corporate body type of","est ou a été le type de collectivité de","es o era tipo de institución de","Connects a Corporate Body Type to a Corporate Body that it categorizes or categorized.",,,"isOrWasCategoryOf","CorporateBodyType","CorporateBody","hasOrHadCorporateBodyType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasCreationDateOfAllMembersOf","is or was creation date of all members of","est ou a été la date de création de tous les membres de","es o era fecha de creación de todos los miembros de","Connects a Date to a Record Set all of whose present or past members were created at this Date.",,"RiC-R081 ('is or was creation date of all members of' relation)","isBeginningDateOf","Date","RecordSet","hasOrHadAllMembersWithCreationDate",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Added the French label | 2023-10-13 : renamed the property in order to take the past members of the record set into account. Adjusted the annotations accordingly. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasCreationDateOfMostMembersOf","is or was creation date of most members of","est ou a été la date de création de la plupart des membres de","es o era fecha de creación de la mayoría de los miembros de","Connects a Date to a Record Set most of whose present or past members were created at this Date.","To be used for specifying a bulk date, i.e. the predominant date of the members of the record set.","RiC-R083 ('is or was creation date of most members of' relation)","isOrWasCreationDateOfSomeMembersOf","Date","RecordSet","hasOrHadMostMembersWithCreationDate",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-10 : Made this property a subproperty of isCreationDateOfSomeMembersOf. | 2023-10-12 : Added the French label | 2023-10-13 : Renamed the property in order to take the past members of the record set into account. Adjusted the annotations accordingly. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasCreationDateOfSomeMembersOf","is or was creation date of some members of","est ou a été la date de création de certains membres de","es o era fecha de creación de algunos miembros de","Connects a Date to a Record Set some of whose present or past members were created at this Date.",,"RiC-R082 ('is or was creation date of some members of' relation)","isBeginningDateOf","Date","RecordSet","hasOrHadSomeMembersWithCreationDate",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Added the French label and the rdfs:comment | 2023-10-13 : Renamed the property in order to take the past members of the record set into account. Adjusted the annotations accordingly. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasDemographicGroupOf","is or was demographic group of","est ou a été la catégorie démographique de","es o era grupo demográfico de","Connects a Demographic Group to a Person or Group which belongs or belonged to it.",,,"isOrWasCategoryOf","DemographicGroup","Group ; Person","hasOrHadDemographicGroup",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasDerivedFromInstantiation","is or was derived from instantiation","est ou a été une instanciation dérivée de","es o era un derivado de instanciación","Inverse of 'has or had derived instantiation' object property.",,"RiC-R014i ('is or was derived from instantiation' relation)","followsInTime; isInstantiationAssociatedWithInstantiation","Instantiation","Instantiation","hasOrHadDerivedInstantiation",,"thingIsTargetOfRelation/derivationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated the IRI, inverse property, definition, labels and RiCMCorrespondingComponent; this in order to make the specification compliant with RiC-CM 1.0. The name of the property in RiC-O 0.2 was 'is derived from instantiation'. | 2023-11-07 : Added the property chain axiom so that this property is formally defined as a shortcut (the inverse property already was). | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new derivationRelation_role object property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasDescribedBy","is or was described by","est ou a été décrit par","es o fue descrito por","Inverse of 'describes or described' object property.",,"RiC-R021i ('is or was described by' relation)","isOrWasSubjectOf","Thing","RecordResource","describesOrDescribed",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isOrWasDigitalInstantiationOf","is or was digital instantiation of","est ou a été une instanciation numérique de","es o era instanciación digital de","Inverse of 'has or had digital instantiation' object property.",,,"isOrWasInstantiationOf","Instantiation","RecordResource","hasOrHadDigitalInstantiation",,,"2023-08-29 : Added the property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isOrWasDocumentaryFormTypeOfAllMembersOf","is or was documentary form type of all members of","est ou a été le type de document de tous les membres de","es o era tipo documental de todos los miembros de","Connects a Documentary Form Type and a Record Set whose all past or present Record or Record Part members have that Documentary Form Type.",,,"isOrWasCategoryOfAllMembersOf","DocumentaryFormType","RecordSet","hasOrHadAllMembersWithDocumentaryFormType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
